ï»¿,name_last,name_first,key_mlbam
0,McKenzie, Triston,663474
21,Stratton, Chris,608717
53,Gaddis, Hunter,683769
62,Cruz, Steven,674444
75,Smith, Cade,671922
85,Bubic, Kris,663460
104,Herrin, Tim,682120
131,Bibee, Tanner,676440
287,PagÃ¡n, Emilio,641941
298,Wentz, Joey,666214
309,Ashcraft, Graham,668933
333,Shugart, Chase,663767
372,Rogers, Taylor,573124
384,Falter, Bailey,663559
389,Singer, Brady,663903
551,GÃ³mez, Yoendrys,672782
584,Bivens, Spencer,702352
612,Hill, Tim,657612
627,Hamilton, Ian,641656
646,Ray, Robbie,592662
665,Yarbrough, Ryan,642232
794,Stroman, Marcus,573186
840,Finnegan, Kyle,640448
849,Arias, Luarbert,678215
870,Ferrer, Jose A.,678606
888,Bender, Anthony,669622
912,Veneziano, Anthony,685107
921,Sims, Lucas,608371
945,Bachar, Lake,669199
956,Parker, Mitchell,680730
981,Cabrera, Edward,665795
1138,Contreras, Luis,664351
1153,Anderson, Ian,666120
1171,Scott, Tayler,605463
1222,VanWey, Logan,701121
1234,Darrell-Hicks, Michael,690382
1275,McDaniels, Garrett,680729
1289,Kochanowicz, Jack,686799
1315,Blanco, Ronel,669854
1459,Fairbanks, Pete,664126
1476,Johnson, Pierce,572955
1490,Thompson, Zach,605507
1494,Uceta, Edwin,670955
1524,Montgomery, Mason,682254
1532,Elder, Bryce,693821
1561,Bradley, Taj,671737
1717,Eisert, Brandon,685126
1736,Bernardino, Brennan,657514
1755,Murfee, Penn,682171
1775,Winckowski, Josh,670174
1796,Booser, Cam,592155
1818,Martin, Davis,663436
1876,Newcomb, Sean,656794
2029,Helsley, Ryan,664854
2036,Banks, Tanner,621383
2049,Maton, Phil,664208
2065,HernÃ¡ndez, Carlos,672578
2077,Pallante, Andre,669467
2085,Ruiz, JosÃ©,614179
2106,Nola, Aaron,605400
2273,Megill, Trevor,656730
2293,Mantiply, Joe,573009
2326,Koenig, Jared,657649
2344,Thompson, Ryan,657044
2352,Quintana, Jose,500779
2378,Rodriguez, Eduardo,593958
2535,Kahnle, Tommy,592454
2553,Blewett, Scott,656240
2560,Vest, Will,676684
2614,Brieske, Beau,689225
2630,Topa, Justin,623437
2683,Alcala, Jorge,660896
2706,Hanifee, Brenan,669724
2720,Olson, Reese,681857
2737,Coulombe, Danny,543056
2743,Festa, David,701581
2880,Jacob, Alek,689690
2895,Peralta, Luis,678821
2908,Matsui, Yuki,673513
2922,Chivilli, Angel,683409
2934,Pivetta, Nick,601713
2990,MÃ¡rquez, GermÃ¡n,608566
3117,MuÃ±oz, AndrÃ©s,662253
3131,Martin, Chris,455119
3142,Vargas, Carlos,672841
3156,Milner, Hoby,571948
3167,Speier, Gabe,642100
3197,Thornton, Trent,663423
3207,Church, Marc,687847
3217,Miller, Bryce,682243
3237,deGrom, Jacob,594798
3404,DÃ­az, Edwin,621242
3428,Alexander, Jason,669920
3440,Minter, A.J.,621345
3451,Leclerc, JosÃ©,600917
3474,Stanek, Ryne,592773
3497,Garrett, Reed,657585
3518,Canning, Griffin,656288
3527,Perdomo, Angel,622780
3536,Spence, Mitch,687765
3611,Sears, JP,676664
3768,Scott, Tanner,656945
3784,Morgan, Eli,669212
3804,Treinen, Blake,595014
3818,Roberts, Ethan,681799
3839,Yates, Kirby,489446
3852,Boyd, Matthew,571510
3883,Yamamoto, Yoshinobu,808967
4053,Ross, Joe,605452
4059,Suarez, JosÃ©,660761
4098,Montero, Rafael,606160
4112,Strahm, Matt,621381
4132,Iglesias, Raisel,628452
4149,Romano, Jordan,605447
4161,De Los Santos, Enyel,660853
4172,Bummer, Aaron,607481
4210,Luzardo, JesÃºs,666200
4226,Schwellenbach, Spencer,680885
4389,Johnson, Ryan,696270
4399,Bigge, Hunter,685801
4419,Soriano, JosÃ©,667755
4428,Cleavinger, Garrett,664076
4447,Englert, Mason,669438
4509,Littell, Zack,641793
4637,Cantillo, Joey,676282
4655,Clevinger, Mike,605182
4676,Wilson, Bryse,669060
4689,Junis, Jakob,596001
4708,Cannon, Jonathan,686563
4742,Williams, Gavin,668909
4911,Sandlin, Nick,680704
4944,GarcÃ­a, Yimi,554340
4960,Chapman, Aroldis,547973
4978,Little, Brendon,663893
4992,Whitlock, Garrett,676477
5023,Green, Chad,643338
5040,Wilson, Justin,458677
5052,Buehler, Walker,621111
5063,Bassitt, Chris,605135
5233,EstÃ©vez, Carlos,608032
5246,Varland, Louis,686973
5264,Erceg, Lucas,668674
5280,Sands, Cole,663485
5304,Lynch IV, Daniel,663738
5320,Schreiber, John,670167
5321,Ober, Bailey,641927
5356,Wacha, Michael,608379
5499,Halvorsen, Seth,678020
5511,Rodriguez, Elvin,660730
5526,Payamps, Joel,606303
5552,Alexander, Scott,518397
5557,Bird, Jake,656234
5574,Uribe, Abner,682842
5610,Hudson, Bryan,663542
5629,Feltner, Ryan,663372
5636,Priester, Quinn,682990
5802,Detmers, Reid,672282
5837,RodrÃ­guez, Manuel,655889
5845,Kikuchi, Yusei,579328
5878,Kelly, Kevin,687330
5908,Pepiot, Ryan,686752
6058,Alvarado, JosÃ©,621237
6107,HernÃ¡ndez, Daysbel,678226
6141,Lee, Dylan,669276
6217,Walker, Taijuan,592836
6244,Holmes, Grant,656550
6453,Vesia, Alex,681911
6469,LÃ³pez, Jorge,605347
6494,Salazar, Eduardo,674285
6532,Irvin, Jake,663623
6543,Banda, Anthony,607455
6560,Dreyer, Jack,676263
6605,Knack, Landon,689017
6740,Clase, Emmanuel,661403
6763,Ellard, Fraser,686642
6832,Vasil, Mike,678024
6851,Sewald, Paul,623149
6879,Allen, Logan,671106
6920,Burke, Sean,680732
7068,Young, Danny,664849
7112,BrazobÃ¡n, Huascar,623211
7133,Meyer, Max,676974
7164,Kranick, Max,668820
7197,Megill, Tylor,656731
7339,Roycroft, Chris,688297
7362,Lawrence, Justin,664875
7376,Matz, Steven,571927
7399,Borucki, Ryan,621366
7421,Santana, Dennis,642701
7425,Romero, JoJo,668941
7445,Fernandez, Ryan,681676
7459,Ferguson, Caleb,657571
7465,Leahy, Kyle,681517
7495,Keller, Mitch,656605
7539,Fedde, Erick,607200
7693,Duran, Jhoan,661395
7723,Jax, Griffin,643377
7740,Long, Sam,669674
7751,Ryan, Joe,657746
7792,Lugo, Seth,607625
7965,Leiter Jr., Mark,643410
7967,Williams, Devin,642207
8000,Brebbia, John,605154
8031,Weaver, Luke,596133
8060,Fried, Max,608331
8077,Holton, Tyler,663947
8114,Flaherty, Jack,656427
8297,Hoffman, Jeff,656546
8310,Weissert, Greg,669711
8343,Gausman, Kevin,592332
8349,Slaten, Justin,686580
8363,Houck, Tanner,656557
8535,Jackson, Luke,592426
8542,Garcia, Robert,676395
8578,Mahle, Tyler,641816
8588,Pearson, Nate,663878
8638,Imanaga, Shota,684007
8779,Abreu, Bryan,650556
8809,Lawrence, Casey,596271
8833,Okert, Steven,595345
8891,Sousa, Bennett,656986
8915,Brown, Hunter,686613
8934,Snider, Collin,676092
8954,Bazardo, Eduard,660825
8988,Castillo, Luis F.,622379
9141,Suarez, Robert,663158
9148,McFarland, T.J.,519008
9153,Sterner, Justin,686993
9175,Adam, Jason,592094
9193,Murdock, Noah,668716
9204,Estrada, Jeremiah,669093
9225,Morejon, Adrian,670970
9253,VÃ¡squez, Randy,681190
9266,Bido, Osvaldo,674370
9404,Jarvis, Bryce,686826
9416,Selby, Colin,681882
9437,Beeks, Jalen,656222
9449,Bowman, Matt,621199
9476,PÃ©rez, Cionel,672335
9498,Pfaadt, Brandon,694297
9528,Kremer, Dean,665152
9688,Anderson, Grant,681982
9702,Vodnik, Victor,680767
9768,Kinley, Tyler,641755
9818,Mears, Nick,683232
9838,Peguero, Elvis,665625
9875,Senzatela, Antonio,622608
9889,Alexander, Tyler,641302
10036,Miller, Erik,669062
10044,Gibaut, Ian,664139
10051,Walker, Ryan,676254
10062,Santillan, Tony,663574
10070,Rogers, Tyler,643511
10086,Barlow, Scott,605130
10089,RodrÃ­guez, Randy,678495
10122,Martinez, Nick,607259
10141,Trivino, Lou,642152
10152,Verlander, Justin,434378
